Bright blue,13,105,171
Black,27,42,52
Earth blue,32,58,86
Earth green,39,70,44
Dark green,40,127,70
Royal blue,70,103,164
Bright green,75,151,74
Reddish brown,105,64,39
Bright violet,107,50,123
Medium blue,110,153,201
Sand blue,116,134,156
Turquoise,121,181,181
Dark red,123,46,47
Bright reddish lilac,142,66,133
Rust,143,76,42
Bright reddish violet,146,57,120
Bright red,196,40,27
Med. reddish violet,196,112,160
Nougat,204,142,104
Bright purple,205,98,152
